exchange,symbol,address,is_verified
HTX,STUSDT,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,no
Binance,TUSD,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,no
Binance,TUSD,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,no
Binance,USDC,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,no
Bybit,USDC,TKFvdC4UC1vtCoHZgn8eviK34kormXaqJ7,no
Bybit,USDC,TQVxjVy2sYt4at45ezD7VG4H6nQZtsua5C,no
Bybit,USDC,TYgFxMvvu2VHFJnxQf8fh1qVAeMfXZJZ3K,no
HTX,USDD,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,no
Bybit,USDD,TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,no
Binance,USDT,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,no
Bybit,USDT,TB1WQmj63bHV9Qmuhp39WABzutphMAetSc,no
MEXC,USDT,TB37WWozkkenGVYWD7Do2N5WT2CedqDktJ,no
Bitget,USDT,TBpo1Sh7vKCLrfxocZHd8CA5wc2R75kSJM,no
CoinEx,USDT,TDCx6xCJQoo3ZohxnDxkB1PnDe5fDfUkcx,no
Binance,USDT,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,no
HTX,USDT,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,no
MEXC,USDT,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,no
BingX,USDT,TErZkyXAoG4K67hmdvFUh6EgNARNETLkXX,no
Bitget,USDT,TFfNrnZzHVMQ7DsHLvcTyvZheqabG4KW4W,no
Bitget,USDT,TJ7hhYhVhaxNx6BPyq7yFpqZrQULL3JSdb,no
Binance,USDT,TJCo98saj6WND61g1uuKwJ9GMWMT9WkJFo,no
Binance,USDT,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,no
Bitunix,USDT,TJRkfdgdQTSTmfQQzFy8RR6o73eLCEorSH,no
Bitget,USDT,TKCFasXqJw3ezQiF1qYWYd78Edfb2NvpBV,no
Bybit,USDT,TKFvdC4UC1vtCoHZgn8eviK34kormXaqJ7,no
Bitunix,USDT,TKmiqjVG9jvYd9atx5qwhTRdQBf6rETsSg,no
Bitget,USDT,TKPqvBMU2v23RyjjViKvp16kiHPx7FnrHQ,no
Bitunix,USDT,TKXvBz4TmLMY5o1rirHndusiVT5Lj4i75E,no
Bitunix,USDT,TLvpkJy9cn695PZLU2fEKYbfVDDpUymZvR,no
OKX,USDT,TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R,no
Bitget,USDT,TMauqkA78pfysSTn8jD1dvEUkjme2gEEdn,no
Bitfinex,USDT,TMhJviFWiaxvqKLdng9dmsi1H5H5yTGEeu,no
Binance,USDT,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,no
Binance,USDT,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,no
Bitunix,USDT,TQTn7XQmZ9p2jToTV2rPbrVLZSftaZjK9y,no
Bybit,USDT,TQVxjVy2sYt4at45ezD7VG4H6nQZtsua5C,no
Bybit,USDT,TS9PDCB6vzLYDCPr5Nas2yzekdr7ot6dxn,no
Bybit,USDT,TTH75Z9rfRgzCLNDDYBaR2WjUvuSDRtSMg,no
Bitunix,USDT,TTXc32nXdJMTkWakntMLZS88HUUjn1u4Ev,no
Bybit,USDT,TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,no
BingX,USDT,TU72cTvdkWvoB7xgN5TXFtoXtUuWRuvUTm,no
Bitget,USDT,TUktrKwLLGGjks6DoN1zGta8muskbd9tnk,no
Bitunix,USDT,TVaRQRPJh3MT3AfGLVZuaTdJL8nd176tpB,no
BingX,USDT,TVPQLkVXvN7MduHWhD4Q7rGVyRdDu5R8F6,no
Bitget,USDT,TVrbQjKY1abxKekuG3ptR1r8S44i9mNUU9,no
Bitget,USDT,TVSdtELybCCa9DPDH15CMAPjeRcENAmDJZ,no
Binance,USDT,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,no
Bitget,USDT,TWpNmnuq6EFMRnxWQTGGf47gjkkbtYJdbm,no
Bitfinex,USDT,TXFBqBbqJommqZf7BV8NNYzePh97UmJodJ,no
Bitunix,USDT,TXP66hCnRzRP4ZNbQcNSWcBV4C5JnHK51F,no
Binance,USDT,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,no
Bybit,USDT,TYgFxMvvu2VHFJnxQf8fh1qVAeMfXZJZ3K,no
Bitget,USDT,TYPUgo9ZtYk34XgBHbCHJCaoYZ5RejhhVD,no
