exchange,symbol,address,address_hex,is_verified
Bybit,USDT,TKFvdC4UC1vtCoHZgn8eviK34kormXaqJ7,0x65e288554f8793D12105D4314D773E1890AA84Be,yes
Bybit,USDT,TQVxjVy2sYt4at45ezD7VG4H6nQZtsua5C,0x9f62bec8a7004F49A2350eCc26e514D431c85128,yes
Bybit,USDT,TS9PDCB6vzLYDCPr5Nas2yzekdr7ot6dxn,0xB16eB1C303728045dd085de23e19bF2fFb902FB8,yes
Bybit,USDT,TYgFxMvvu2VHFJnxQf8fh1qVAeMfXZJZ3K,0xf916498150C048C2972C17d1f674Fe0DDB297E2e,yes
Binance,USDT,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,0x0b48984414CC0c6a8e599Fb6e3bC11e599DE2e24,yes
Bybit,USDT,TB1WQmj63bHV9Qmuhp39WABzutphMAetSc,0x0b677D68AC8Ab87f6eC894211e0761B726179077,yes
MEXC,USDT,TB37WWozkkenGVYWD7Do2N5WT2CedqDktJ,0x0bB5347c528C6b329f599BDc2BC47C39ab5aE0CA,yes
Bitget,USDT,TBpo1Sh7vKCLrfxocZHd8CA5wc2R75kSJM,0x1458e52D23B531df0e5a2B0D8DB43D85018069F9,yes
CoinEx,USDT,TDCx6xCJQoo3ZohxnDxkB1PnDe5fDfUkcx,0x2381C3a70d2434fA4C77FE210D3aB1C68C22dB98,yes
Binance,USDT,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,0x2A68bAf67F1C497D9a4a609276A90Dcd6eA77444,yes
HTX,USDT,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,0x2650ceBDF236E4b9b77aBfBf4A6FEC647854da62,yes
MEXC,USDT,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,0x30760c7E10b1d3509d8d64A7e9eb9ab94BC83495,yes
BingX,USDT,TErZkyXAoG4K67hmdvFUh6EgNARNETLkXX,0x35970B5E2b50E3e54a480a9Bdac02D962Ee19A9B,yes
Bitget,USDT,TFfNrnZzHVMQ7DsHLvcTyvZheqabG4KW4W,0x3e717EF3e2Fd3a80D018fabBDeA4794C10354292,yes
Bitget,USDT,TJ7hhYhVhaxNx6BPyq7yFpqZrQULL3JSdb,0x595C4A379aB80C202f0372BBF9bbF3fAd6Ca8768,yes
Binance,USDT,TJCo98saj6WND61g1uuKwJ9GMWMT9WkJFo,0x5a52E96BAcdaBb82fd05763E25335261B270Efcb,yes
Binance,USDT,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,0x5A67Fa7Cc56Bd6d043a98e17d329C1dc9E14753F,yes
Bitunix,USDT,TJRkfdgdQTSTmfQQzFy8RR6o73eLCEorSH,0x5CC64102d24E852C152a60ee9df1fB7d4D9C57A6,yes
Bitget,USDT,TKCFasXqJw3ezQiF1qYWYd78Edfb2NvpBV,0x6530B21aEe3803844063f1E8e75853BdBeE81Ec4,yes
Bitunix,USDT,TKmiqjVG9jvYd9atx5qwhTRdQBf6rETsSg,0x6B852Cc0Cdfe7eF2A5332C02c627836392c45e00,yes
Bitget,USDT,TKPqvBMU2v23RyjjViKvp16kiHPx7FnrHQ,0x6761eE52D24b4519F2AD3c7B80d6D5b57B825b74,yes
Bitunix,USDT,TKXvBz4TmLMY5o1rirHndusiVT5Lj4i75E,0x68E8D33d3c5EC5fc602B0D8b1Ef91111a77a3772,yes
Bitunix,USDT,TLvpkJy9cn695PZLU2fEKYbfVDDpUymZvR,0x7835f989c4a5C5D916792D6cb250eC876e609d15,yes
OKX,USDT,TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R,0x79309abCff2cf531070ca9222a1F72c4A5136874,yes
Bitget,USDT,TMauqkA78pfysSTn8jD1dvEUkjme2gEEdn,0x7f6A0886E9C06635802C823b1E01fa5ACE23012F,yes
Bitfinex,USDT,TMhJviFWiaxvqKLdng9dmsi1H5H5yTGEeu,0x809fCcCCe1043b749ad63CD4C6D8A761B6237655,yes
Binance,USDT,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,0x89cbCb2372e1c2FBc00f24895A406a0c722C89f3,yes
Binance,USDT,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,0xA346F2bd7d43a5D90B7C57a18196Be96B2840e61,yes
Bitunix,USDT,TQTn7XQmZ9p2jToTV2rPbrVLZSftaZjK9y,0x9eF90C4853Eb129f527Fe59C4d5F11E8eA001524,yes
Bybit,USDT,TTH75Z9rfRgzCLNDDYBaR2WjUvuSDRtSMg,0xBDDcAe8A660880744A84Be403B83070AFcA08380,yes
Bitunix,USDT,TTXc32nXdJMTkWakntMLZS88HUUjn1u4Ev,0xc09aAD4Af33BADF770Ac1010DE9eAd920B58b349,yes
Bybit,USDT,TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,0xc686C48436aec3A1DfCE4Ac5A4526C39366985ba,yes
BingX,USDT,TU72cTvdkWvoB7xgN5TXFtoXtUuWRuvUTm,0xC6eceB46530aDB66fa8D2FFce67eA43d6E578fb5,yes
Bitget,USDT,TUktrKwLLGGjks6DoN1zGta8muskbd9tnk,0xCe163F3dD5524E3da6135977Cc4cF0aD18681C4f,yes
Bitunix,USDT,TVaRQRPJh3MT3AfGLVZuaTdJL8nd176tpB,0xd7134D488AD7EBf4dA1787f96eC590266aC745F2,yes
BingX,USDT,TVPQLkVXvN7MduHWhD4Q7rGVyRdDu5R8F6,0xD4FdD6B682B6ea42812024F4A8A4996184BDA423,yes
Bitget,USDT,TVrbQjKY1abxKekuG3ptR1r8S44i9mNUU9,0xDa224F2ebC40c96340b26d0368844e8921D62c94,yes
Bitget,USDT,TVSdtELybCCa9DPDH15CMAPjeRcENAmDJZ,0xd59a643BBb558cDbFDC1F9747Aa171218bDc3357,yes
Binance,USDT,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,0xe28B3CfD4E0e909077821478E9FCB86B84be786e,yes
Bitget,USDT,TWpNmnuq6EFMRnxWQTGGf47gjkkbtYJdbm,0xe4af0Df01622386BF1D3589bA325C66293850632,yes
Bitfinex,USDT,TXFBqBbqJommqZf7BV8NNYzePh97UmJodJ,0xe96051e8DA2F0cC02C372252DFaCfDb129B5D4D6,yes
Bitunix,USDT,TXP66hCnRzRP4ZNbQcNSWcBV4C5JnHK51F,0xeAdedcc22212b644811f50777f6ecf52938A9b5f,yes
Binance,USDT,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,0xF372E671e8E872e14F17236AB29c7995296a3BAD,yes
Bitget,USDT,TYPUgo9ZtYk34XgBHbCHJCaoYZ5RejhhVD,0xF5E9d7F6F75BAB4f81cd249096066b02a719d7d4,yes
Binance,USDT,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,0xD1C4BB7B2F39ABA5707711719B2236b5b605aF2e,yes
